Subcluster_id,Q-score,No_of_motifs
195,1.4220380942099302,5
757,1.3298454238102875,2
217,1.3115686012062358,6
339,1.1789328174858282,10
428,1.1442051838632785,2
23,1.117170222754614,6
22,1.0756798797666298,7
492,1.0662469753050576,3
257,1.0595929481253366,4
114,1.0317347398001095,10
519,1.0222417171825497,2
1001,1.0211772085489055,3
830,1.0051088036321218,2
495,0.9955576315826562,5
39,0.9889563035938598,3
179,0.9870734446346283,9
263,0.9856518684976607,8
335,0.963846069736187,6
15,0.9622101475219116,8
925,0.9610116057988942,2
844,0.9600469319960383,2
926,0.9561343533127415,2
653,0.9475840012447261,11
528,0.9457824428831478,4
338,0.9449926196775584,8
601,0.9434973729301027,3
854,0.942869363950033,2
55,0.9402289399235375,13
681,0.9401059249531505,2
243,0.9391650345606839,10
781,0.9331460736462455,2
279,0.9253885652343536,12
1007,0.9155522335034103,5
356,0.9093740071868361,6
618,0.9041618583777573,2
236,0.9001563501374372,4
326,0.8977917931536299,3
608,0.8962345110919772,9
833,0.8950680705761427,2
193,0.8910860619026248,4
21,0.8821900316372745,14
640,0.8780191666024503,2
522,0.8774239117031962,4
103,0.8768631751837233,8
967,0.8751898492658186,9
14,0.8716169223216037,3
146,0.8703628904358831,7
371,0.8695099583787425,3
270,0.8671324498062131,10
342,0.8667202948600052,5
381,0.8663275900032882,5
943,0.8559168288651842,2
209,0.8556744718611746,3
1008,0.8537281466276746,6
876,0.8489349759005532,2
31,0.8471499422743201,6
421,0.8470615480684244,3
148,0.8429024183694087,7
732,0.8377247874706839,5
274,0.8347434209191826,6
974,0.8297490840455929,2
544,0.8290238361204272,5
720,0.82805477471395,2
719,0.82103137620379,2
599,0.8182336397042714,4
540,0.815318677015041,2
871,0.8143346250780473,3
203,0.8131645980038682,8
83,0.812371846743263,4
705,0.806931879130963,3
423,0.8045777304070247,6
298,0.7888606075712306,4
623,0.7796774603427019,3
717,0.7789026640440911,2
46,0.7773861233490259,8
101,0.7772780212486721,6
743,0.7766065165986615,2
882,0.7713858655437678,2
942,0.7635470619993568,2
682,0.7628966216027806,2
644,0.7603554582946119,4
469,0.7516232539127498,5
615,0.7499455272562656,3
394,0.7450787821993035,2
155,0.7448378229477849,8
751,0.7424227494852274,2
123,0.7378121495348031,5
136,0.7374903798242216,6
499,0.7347950832892449,7
727,0.7342926370896589,2
803,0.7320844503258714,2
9,0.7300426713784557,2
313,0.7210788090007292,7
47,0.7204065089926293,12
118,0.714675578777562,5
905,0.7129355017138168,2
205,0.70955195644568,3
551,0.7003845040285688,2
408,0.6998680899926253,3
877,0.697670671102578,2
158,0.6957923304722706,6
51,0.6948950330661485,10
131,0.69321300483896,6
212,0.6931279989353004,6
880,0.68713764817616,3
875,0.6845053259276042,2
6,0.6844546296240903,19
119,0.6820224615185355,6
278,0.6818734864548226,8
275,0.6789370960265162,5
412,0.6784809285180007,12
879,0.6777539317252028,2
96,0.677546260361964,9
330,0.6748462935142694,5
804,0.6739547513558701,2
175,0.6722025308664631,6
919,0.6699572439249604,2
588,0.6670322431729194,4
132,0.6594647880842662,3
36,0.655571076702552,3
474,0.6553934044570213,6
84,0.6543018821174711,6
77,0.65321013861957,4
398,0.6527263417133946,3
249,0.652516841238432,7
951,0.6521777430751441,2
945,0.6514577257349329,2
233,0.6505536229667287,3
614,0.650293903013466,2
447,0.6499292302331152,10
480,0.6461994797125397,7
453,0.6457053757492027,2
403,0.6443921261501482,8
756,0.6438727563786165,6
461,0.6413845820279942,2
26,0.6413167584579109,11
437,0.6410172423022129,4
134,0.6341540184950673,2
685,0.6330946590549783,8
545,0.6271060414028081,2
838,0.6267301678556569,4
400,0.6253722707107926,3
340,0.6246336177051031,13
933,0.6243781359165018,3
377,0.623389540249434,8
813,0.621840339524355,4
52,0.6178843570088322,7
438,0.6173238563811958,2
108,0.6172167948415308,5
171,0.615505586775251,11
241,0.614032785027395,10
380,0.6139287598237662,5
546,0.6121739504423956,3
91,0.611711802677142,8
418,0.611079951605917,2
470,0.6080380837302634,7
140,0.6058566082180047,4
126,0.6047235051854756,8
1011,0.6016711655026347,3
95,0.6007520978851549,8
695,0.600090251110394,12
120,0.5985541643077614,6
348,0.597859285775212,5
753,0.5950577186726027,2
648,0.5950262038512296,8
606,0.5932308471069444,6
417,0.5927171075999127,3
585,0.5924041131973156,5
201,0.5914930318699123,10
210,0.5883356112436753,5
451,0.586877143265465,4
386,0.5867943892261938,3
246,0.5844563722723052,6
641,0.5836151727748029,5
541,0.5833620856529461,2
555,0.5809142809298862,7
174,0.5787856441366088,6
378,0.5745059408218326,8
143,0.5723920176250596,7
374,0.5706381712124602,4
362,0.5690821447657639,7
632,0.5684978222329441,2
317,0.5683721765126599,3
462,0.5679743930565506,3
758,0.5629987795075011,5
679,0.5628751531450997,18
94,0.5611831021741877,4
111,0.557576370877791,8
816,0.5563385973000046,2
30,0.5560140894148786,10
708,0.5550635521559669,7
35,0.5546135245292699,16
178,0.5542748372713273,10
992,0.5521509454667648,5
355,0.5489153549516459,7
352,0.5485795933290998,3
141,0.5474550774455692,9
516,0.5471086527538862,4
129,0.5456137718730949,5
924,0.5435374622628931,2
258,0.5401475019552994,5
731,0.5393562913446687,19
503,0.5379953130484152,5
902,0.537812661566879,4
17,0.5371204889811798,7
115,0.5363157015005318,4
777,0.5346952673889575,4
778,0.5319699947999795,11
299,0.5318624716375145,5
211,0.5309957400656009,6
846,0.5274153814680062,2
390,0.5271616603671911,4
783,0.5220071819247614,2
525,0.5215127397199697,3
468,0.5198560378908597,5
159,0.5197451252523901,6
589,0.5178790373897062,5
202,0.5081062660279783,5
584,0.5072998920792761,4
286,0.5064629695987624,3
372,0.5047690052178183,5
383,0.5031240019444475,2
425,0.5019978381139372,3
267,0.49974510754051504,6
419,0.4985626731674028,3
75,0.49838184154824217,8
44,0.49827325795313415,6
133,0.49597533517912357,5
916,0.4959725571075363,5
581,0.49561900990611196,4
216,0.49331912303272074,7
649,0.49034663437073156,5
79,0.48940314364608967,10
149,0.4867967168600748,8
