Motif_id	Feature_1	Feature_2	Feature_3	Feature_4	Feature_5	Feature_6	Feature_7	Feature_8	Feature_9	Feature_10	Feature_11	Feature_12	Feature_13	Feature_14	Feature_15	Feature_16	Feature_17	Feature_18	Feature_19	Feature_20	Feature_21	Feature_22	Feature_23	Feature_24	Feature_25	Feature_26	Feature_27	Feature_28	Feature_29	Feature_30	Feature_31	Feature_32	Feature_33	Feature_34	Feature_35	Feature_36	Feature_37	Feature_38	Feature_39	Feature_40	Feature_41	Feature_42	Feature_43	Feature_44	Feature_45	Feature_46	Feature_47	Feature_48	Feature_49	Feature_50	Feature_51	Feature_52	Feature_53	Feature_54	Feature_55	Feature_56	Feature_57	Feature_58	Feature_59	Feature_60	Feature_61	Feature_62	Feature_63	Feature_64	Label
2R8S_R:149-154	0.32930853962898254	 0.16716934740543365	 0.073179230093956	 0.11858401447534561	 -0.23471152782440186	 -0.18371810019016266	 -0.04091525450348854	 -0.13971997797489166	 -0.04787434637546539	 0.3259063959121704	 0.12490910291671753	 0.07991107553243637	 -0.05817347764968872	 -0.05457790568470955	 -0.2080262154340744	 0.07979751378297806	 0.1742023229598999	 0.07155968248844147	 -0.10918837785720825	 0.011922207660973072	 -0.43202170729637146	 -0.20454160869121552	 -0.05854475498199463	 0.2294369339942932	 0.07961363345384598	 -0.08760648965835571	 -0.19653528928756714	 -0.118963323533535	 0.31091299653053284	 -0.044258344918489456	 0.02792471833527088	 -0.5325984954833984	 0.1518406867980957	 0.05988944694399834	 -0.1210210844874382	 0.1750209927558899	 0.0566277951002121	 -0.21950799226760864	 -0.08031385391950607	 0.03932151570916176	 -0.06058311089873314	 0.0954127088189125	 -0.030278310179710388	 -0.062198083847761154	 -0.10497954487800598	 0.2462874799966812	 0.017587006092071533	 -0.2988443076610565	 -0.09350734949111938	 -0.30235859751701355	 -0.08063245564699173	 -0.09850791841745377	 0.19104339182376862	 -0.09086384624242783	 -0.02294074185192585	 -0.03061647154390812	 0.05789335072040558	 0.09667035192251205	 0.35239458084106445	 0.20050597190856934	 -0.12893249094486237	 0.17128771543502808	 -0.14758236706256866	 -0.10110212117433548	GNRA
5MRC_aa:1123-1128	-0.05144025385379791	 -0.007518029306083918	 0.19885557889938354	 0.056161731481552124	 0.017578652128577232	 -0.025681115686893463	 -0.01691807061433792	 0.03106618858873844	 -0.11876213550567627	 -0.3276742994785309	 0.12437835335731506	 0.24299460649490356	 -0.2318994253873825	 0.1699177473783493	 -0.23112402856349945	 -0.29554346203804016	 -0.011117666959762573	 -0.07289845496416092	 0.056545455008745193	 0.029365720227360725	 0.05695466697216034	 0.05684420466423035	 0.24460522830486298	 -0.22386501729488373	 0.2490403652191162	 -0.2826886475086212	 -0.09232699126005173	 -0.12766149640083313	 -0.38578152656555176	 -0.07586879283189774	 0.19973886013031006	 0.2063879817724228	 -0.12381445616483688	 0.33959388732910156	 0.20618242025375366	 -0.05856138467788696	 -0.2384531944990158	 -0.15848779678344727	 -0.14926308393478394	 -0.05094305798411369	 -0.08827483654022217	 -0.022156938910484314	 0.20967940986156464	 0.19822148978710175	 -0.07057637721300125	 -0.08818516880273819	 0.17086303234100342	 0.21342147886753082	 0.19954073429107666	 0.04188722372055054	 -0.5105835795402527	 0.05249049887061119	 0.06367970257997513	 0.09945666790008545	 -0.02633298933506012	 0.08530060201883316	 -0.30470916628837585	 -0.2887059152126312	 -0.08289434015750885	 0.014785836450755596	 0.263204962015152	 0.08523503690958023	 -0.00830243993550539	 -0.13339179754257202	GNRA
5NGM_Aa:1526-1531	0.09329897165298462	 0.02545490302145481	 -0.15373484790325165	 0.24655479192733765	 -0.04646400734782219	 -0.16761146485805511	 0.09894457459449768	 -0.07387731224298477	 -0.1565195769071579	 0.15013979375362396	 0.2329898625612259	 -0.12121204286813736	 -0.24907903373241425	 -0.06963366270065308	 0.19434112310409546	 0.43205907940864563	 0.07695173472166061	 -0.147836372256279	 0.06949663162231445	 -0.11928874999284744	 0.10275942087173462	 0.07676982879638672	 -0.3392336368560791	 -0.12209182977676392	 -0.25443777441978455	 -0.1121550127863884	 0.05264881253242493	 -0.07715722173452377	 0.11656644940376282	 -0.08022496849298477	 -0.27338552474975586	 0.0500287264585495	 -0.08350369334220886	 -0.05300864577293396	 -0.08658664673566818	 -0.10868331789970398	 -0.1321706771850586	 0.34514307975769043	 -0.004595726728439331	 0.18997740745544434	 0.0004314097168389708	 -0.07869023829698563	 -0.03006979264318943	 0.2453242540359497	 0.18570832908153534	 0.16460777819156647	 -0.18211160600185394	 -0.12325730919837952	 -0.006089018192142248	 0.10691207647323608	 0.19698236882686615	 0.10556141287088394	 -0.1112932339310646	 0.060252945870161057	 0.1872180551290512	 -0.21568109095096588	 0.24519848823547363	 0.23579759895801544	 0.2488248348236084	 0.16436345875263214	 -0.009344079531729221	 -0.1489565521478653	 0.3031410574913025	 -0.20073311030864716	GNRA
5B63_D:954-962	0.0339050367474556	 0.004699258133769035	 0.008829216472804546	 -0.05339634791016579	 0.03658228740096092	 0.02451787143945694	 -0.0022324654273688793	 -0.013649750500917435	 0.05916321277618408	 -0.016106585040688515	 -0.09356248378753662	 0.016447216272354126	 0.07164698839187622	 -0.11116361618041992	 0.0701255276799202	 -0.16641397774219513	 -0.09227801859378815	 -0.06789641082286835	 -0.06888467818498611	 -0.02383640594780445	 -0.1771647334098816	 -0.025632748380303383	 -0.14103753864765167	 -0.12414993345737457	 -0.013377868570387363	 0.19698002934455872	 -0.17536510527133942	 0.08150137960910797	 -0.0018337683286517859	 0.06894887238740921	 -0.04556705430150032	 0.13302282989025116	 0.042462851852178574	 -0.00033422725391574204	 -0.0910092443227768	 -0.06834345310926437	 0.07257254421710968	 -0.001680142362602055	 -0.023420726880431175	 0.021558888256549835	 0.09120828658342361	 0.17214727401733398	 -0.03614973649382591	 0.015199403278529644	 0.04722326993942261	 -0.06323591619729996	 0.06934405863285065	 0.18635214865207672	 -0.1343516707420349	 0.07542929798364639	 0.1720069944858551	 -0.03417334333062172	 -0.03433532267808914	 -0.07709237933158875	 0.11426934599876404	 -0.09013431519269943	 0.001688260119408369	 -0.2186216562986374	 -0.03357754275202751	 -0.0782778412103653	 0.04545994848012924	 0.04333765059709549	 -0.2102644443511963	 0.01574789546430111	TL
4V8P_D1:356-361	-0.0120902294293046	 -0.04484902694821358	 0.19663286209106445	 0.09806983917951584	 0.026478631421923637	 0.04232049360871315	 0.0998925194144249	 0.042415592819452286	 -0.19079983234405518	 -0.15159666538238525	 -0.08048444241285324	 0.3649992048740387	 -0.3067210912704468	 0.1540858894586563	 -0.12127157300710678	 -0.31797412037849426	 0.09094967693090439	 -0.1505066305398941	 -0.014317740686237812	 -0.07917506247758865	 0.08104444295167923	 0.014914813451468945	 0.0386953167617321	 -0.13736319541931152	 0.14194385707378387	 -0.2991257905960083	 -0.06382395327091217	 -0.1751927137374878	 -0.21506367623806	 -0.057607218623161316	 0.10590362548828125	 0.16544663906097412	 -0.015081982128322124	 0.3173016905784607	 0.17954303324222565	 0.016587233170866966	 -0.2510567903518677	 -0.23045718669891357	 -0.05513250455260277	 0.00713241845369339	 -0.03624579682946205	 0.1026080921292305	 0.08261227607727051	 0.21481817960739136	 -0.059709835797548294	 -0.212389275431633	 0.16193540394306183	 0.24082577228546143	 0.3033261299133301	 0.03953823447227478	 -0.34729552268981934	 0.004826825112104416	 -0.013565145432949066	 0.12187597900629044	 0.02030324377119541	 0.04462379589676857	 -0.23973612487316132	 -0.1210739016532898	 -0.2211398333311081	 -0.061070870608091354	 0.07223604619503021	 0.09452817589044571	 -0.0542890727519989	 -0.08695287257432938	GNRA
1Q96_A:13-18	0.13237307965755463	 -0.18769927322864532	 0.08937855809926987	 -0.023596137762069702	 -0.20481698215007782	 0.010438308119773865	 0.06047235056757927	 -0.060015738010406494	 -0.24419915676116943	 -0.08190197497606277	 0.07543012499809265	 0.20990215241909027	 -0.1874256730079651	 0.06043258309364319	 -0.01586001180112362	 -0.07832057029008865	 -0.030194886028766632	 -0.1912732571363449	 -0.0831354409456253	 -0.19385743141174316	 -0.00351916067302227	 -0.09559383988380432	 0.027233973145484924	 -0.22266149520874023	 0.15818242728710175	 -0.6103543639183044	 -0.18419180810451508	 -0.131002739071846	 -0.0956764817237854	 -0.15499649941921234	 0.027159178629517555	 0.15653499960899353	 0.19325204193592072	 0.026454979553818703	 0.15312963724136353	 -0.04929736629128456	 -0.3203352689743042	 -0.02501414716243744	 0.16063843667507172	 -0.0009961128234863281	 -0.0463973768055439	 -0.045043304562568665	 0.07234162092208862	 0.2033771276473999	 0.006053037941455841	 -0.1841907948255539	 0.08680053800344467	 0.219390869140625	 0.21223510801792145	 -0.018598755821585655	 -0.1957123726606369	 0.027965208515524864	 0.0019931767601519823	 0.14739270508289337	 0.07136674970388412	 0.15884588658809662	 -0.10570544004440308	 -0.05293337628245354	 -0.010890628211200237	 -0.13529019057750702	 0.12535765767097473	 0.0759623646736145	 -0.3072058856487274	 -0.17649750411510468	GNRA
5T5H_A:401-406	-0.20682324469089508	 -0.0774415135383606	 0.10617630928754807	 0.03678544983267784	 -0.23130978643894196	 0.1651235967874527	 -0.1668919324874878	 0.005393659230321646	 0.3057518005371094	 -0.050106942653656006	 0.3244136571884155	 0.028603531420230865	 -0.010379764251410961	 -0.07719425112009048	 0.39257940649986267	 0.032002855092287064	 -0.16426099836826324	 0.1916055530309677	 0.04768125340342522	 0.12618696689605713	 0.5359428524971008	 -0.14343126118183136	 0.09017343074083328	 0.10733277350664139	 -0.18371839821338654	 0.028145909309387207	 0.3503636121749878	 0.15334276854991913	 -0.08359638601541519	 -0.20799686014652252	 0.2545832395553589	 -0.3072148263454437	 -0.11210707575082779	 -0.09483850002288818	 0.21942740678787231	 0.023126676678657532	 -0.2441965788602829	 -0.0007321040029637516	 0.01359395682811737	 -0.11163242906332016	 0.1684747338294983	 -0.019414203241467476	 -0.08541443198919296	 0.0339604951441288	 0.13032124936580658	 0.2191361039876938	 -0.07693850249052048	 0.14890742301940918	 0.028474843129515648	 0.2083747535943985	 -0.031164176762104034	 0.15587793290615082	 0.18629051744937897	 0.025975750759243965	 0.10910952091217041	 0.18369849026203156	 0.16214163601398468	 0.25448599457740784	 0.03859574720263481	 0.01929820142686367	 0.060294732451438904	 -0.15347851812839508	 0.1012800857424736	 -0.1714991331100464	GNRA
6HA1_a:907-912	-0.09630326181650162	 0.06350784748792648	 -0.2064746767282486	 0.4479459524154663	 -0.03341028094291687	 -0.043832916766405106	 -0.013859516941010952	 0.1686508059501648	 0.0433616042137146	 -0.01638556830585003	 0.10325244814157486	 -0.11292427033185959	 -0.0072034671902656555	 0.3393758237361908	 -0.11904257535934448	 0.12924040853977203	 0.17073039710521698	 -0.011480208486318588	 0.10032717138528824	 -0.2565723955631256	 0.1369599848985672	 0.05438585951924324	 0.05520251765847206	 0.11286845803260803	 -0.06251070648431778	 0.2733382284641266	 -0.10778602212667465	 0.0003260597586631775	 0.02521061897277832	 -0.03502677381038666	 0.005797788500785828	 0.2103140503168106	 -0.21202583611011505	 0.12041521072387695	 0.059899892657995224	 -0.02260717935860157	 0.19846004247665405	 -0.11536125093698502	 0.06916451454162598	 -0.33793386816978455	 -0.12548328936100006	 0.016068637371063232	 -0.06138361617922783	 0.06318046897649765	 0.17589569091796875	 -0.04011852666735649	 0.026294345036149025	 -0.2509441673755646	 0.021629629656672478	 -0.2845477759838104	 -0.07718238979578018	 0.031249353662133217	 -0.06045478209853172	 -0.055814068764448166	 -0.19088499248027802	 -0.11506912112236023	 -0.016428550705313683	 0.00011513972276588902	 -0.36064624786376953	 0.004519215319305658	 -0.0965346097946167	 0.0593746155500412	 0.4608360528945923	 0.26866641640663147	GNRA
4Y4O_2A:1363-1368	0.05044110491871834	 0.04852546378970146	 -0.08372239023447037	 0.29216423630714417	 -0.1969061940908432	 0.006015284452587366	 0.10198613256216049	 0.050244059413671494	 -0.1503821611404419	 0.13363760709762573	 0.08390983194112778	 -0.19486194849014282	 -0.11607112735509872	 -0.19769887626171112	 0.21653075516223907	 0.48463520407676697	 -0.1898963302373886	 -0.16416706144809723	 0.1602223664522171	 -0.07302742451429367	 -0.11690815538167953	 0.18928636610507965	 -0.2578788995742798	 0.09758851677179337	 -0.25360870361328125	 -0.08406547456979752	 -0.03536561504006386	 -0.24959754943847656	 0.17542345821857452	 0.024064838886260986	 -0.18296782672405243	 0.12372157722711563	 0.0688568577170372	 -0.18880146741867065	 0.0405980609357357	 -0.09509885311126709	 -0.05141952261328697	 0.3578973710536957	 -0.1227743849158287	 0.2074570506811142	 -0.1207374632358551	 -0.10434361547231674	 -0.04630523920059204	 0.2881770133972168	 0.044893886893987656	 0.2377294898033142	 -0.19021068513393402	 -0.21533429622650146	 -0.08127696067094803	 0.015047094784677029	 -0.06223523989319801	 0.09071940928697586	 -0.11354092508554459	 0.0831604078412056	 0.04824244976043701	 0.04461849853396416	 0.18975569307804108	 0.032377392053604126	 0.17273259162902832	 0.2161656618118286	 0.030584504827857018	 -0.06606382876634598	 0.18390174210071564	 -0.010426685214042664	GNRA
5TBW_1:2744-2749	0.041031017899513245	 -0.0781797245144844	 0.10897406190633774	 -0.2034701555967331	 0.028220368549227715	 -0.02531609870493412	 -0.01205755490809679	 0.023878002539277077	 -0.1899130791425705	 -0.32281526923179626	 0.09045065194368362	 0.26478311419487	 -0.24066556990146637	 0.1731216460466385	 -0.2301245927810669	 -0.15626506507396698	 -0.011394190602004528	 -0.07262593507766724	 0.020258648321032524	 -0.004742200020700693	 0.09018642455339432	 0.06719952076673508	 0.2563489079475403	 -0.19675342738628387	 0.1298755407333374	 -0.38912689685821533	 -0.026321271434426308	 -0.05046356841921806	 -0.4136700928211212	 -0.09359902143478394	 0.10245201736688614	 0.1943783313035965	 -0.041987333446741104	 0.2115364819765091	 0.1499146670103073	 -0.13077370822429657	 -0.28756260871887207	 -0.05714268609881401	 -0.25021979212760925	 -0.029525026679039	 -0.15974949300289154	 -0.012917433865368366	 0.21159370243549347	 0.056596700102090836	 -0.12522654235363007	 -0.02964186854660511	 0.1471969336271286	 0.2093372344970703	 0.23305384814739227	 0.1009974256157875	 -0.39259254932403564	 -0.0585501529276371	 0.10770437121391296	 0.05913547798991203	 -0.02184402383863926	 0.11759225279092789	 -0.2615882456302643	 -0.17113830149173737	 0.0436052568256855	 0.058886636048555374	 0.2785252034664154	 0.025288773700594902	 -0.10645077377557755	 -0.19525878131389618	GNRA
